input_token, output_token, batch_size, time, output_token/s
32, 64, 1, 87.66, 0.73
32, 128, 1, 184.15, 0.70
32, 256, 1, 385.19, 0.66
32, 512, 1, 710.75, 0.72
32, 1024, 1, 1487.03, 0.69
64, 64, 1, 94.14, 0.68
64, 128, 1, 187.81, 0.68
64, 256, 1, 363.53, 0.70
64, 512, 1, 742.70, 0.69
64, 1024, 1, 1403.29, 0.73
128, 64, 1, 97.06, 0.66
128, 128, 1, 188.63, 0.68
128, 256, 1, 370.44, 0.69
128, 512, 1, 733.06, 0.70
128, 1024, 1, 1507.99, 0.68
256, 64, 1, 97.71, 0.66
256, 128, 1, 182.59, 0.70
256, 256, 1, 357.59, 0.72
256, 512, 1, 720.87, 0.71
256, 1024, 1, 1457.03, 0.70
